WUP-PNFP,Air Zonk
WUP-PNLP,Alien Crush
WUP-PPGP,Battle Chopper
WUP-PPSP,Battle Lode Runner
WUP-PNKP,Blazing Lazers
WUP-PPTP,Bomberman 93
WUP-PNWP,Bomberman 94
WUP-PN7P,Bomberman Panic Bomber
WUP-PNHP,Bonk 3 Bonks Big Adventure
WUP-PNBP,Bonks Adventure
WUP-PNGP,Bonks Revenge
WUP-PNZP,Break In
WUP-PNPP,Chew Man Fu
WUP-PNJP,China Warrior
WUP-PNXP,Detana Twin Bee
WUP-PN6P,Devils Crush
WUP-PNYP,Digital Champ
WUP-PNSP,Double Dungeons
WUP-PN3P,Dungeon Explorer
WUP-PNQP,Final Soldier
WUP-PNAP,Gradius
WUP-PPEP,ImageFight
WUP-PPFP,ImageFight II
WUP-PPCP,Legend of Hero Tonma
WUP-PN5P,Lords of Thunder
WUP-PN2P,Motoroader
WUP-PPUP,Necromancer
WUP-PNEP,Neutopia
WUP-PNMP,Neutopia II
WUP-PNCP,New Adventure Island
WUP-PPDP,Ninja Spirit
WUP-PNUP,Power Golf
WUP-PPAP,R-Type
WUP-PNVP,Salamander
WUP-PNNP,Shockman
WUP-PNTP,Soldier Blade
WUP-PNDP,Super Star Soldier
WUP-PNRP,Victory Run
WUP-PPBP,Vigilante
WUP-PN4P,World Sports Competition
WUP-PNFE,Air Zonk
WUP-PNLE,Alien Crush
WUP-PPGE,Battle Chopper
WUP-PPSE,Battle Lode Runner
WUP-PNKE,Blazing Lazers
WUP-PPTE,Bomberman 93
WUP-PNWE,Bomberman 94
WUP-PN7E,Bomberman Panic Bomber
WUP-PNHE,Bonk 3 Bonks Big Adventure
WUP-PNBE,Bonks Adventure
WUP-PNGE,Bonks Revenge
WUP-PNZE,Break In
WUP-PNPE,Chew Man Fu
WUP-PNJE,China Warrior
WUP-PNXE,Detana Twin Bee
WUP-PN6E,Devils Crush
WUP-PNYE,Digital Champ
WUP-PNSE,Double Dungeons
WUP-PN3E,Dungeon Explorer
WUP-PNQE,Final Soldier
WUP-PNAE,Gradius
WUP-PPEE,ImageFight
WUP-PPFE,ImageFight II
WUP-PPCE,Legend of Hero Tonma
WUP-PN5E,Lords of Thunder
WUP-PN2E,Motoroader
WUP-PPUE,Necromancer
WUP-PNEE,Neutopia
WUP-PNME,Neutopia II
WUP-PNCE,New Adventure Island
WUP-PPDE,Ninja Spirit
WUP-PNUE,Power Golf
WUP-PPAE,R-Type
WUP-PNVE,Salamander
WUP-PNNE,Shockman
WUP-PNTE,Soldier Blade
WUP-PNDE,Super Star Soldier
WUP-PNRE,Victory Run
WUP-PPBE,Vigilante
WUP-PN4E,World Sports Competition
WUP-PNFJ,Air Zonk
WUP-PNLJ,Alien Crush
WUP-PPGJ,Battle Chopper
WUP-PPSJ,Battle Lode Runner
WUP-PNKJ,Blazing Lazers
WUP-PPTJ,Bomberman 93
WUP-PNWJ,Bomberman 94
WUP-PN7J,Bomberman Panic Bomber
WUP-PNHJ,Bonk 3 Bonks Big Adventure
WUP-PNBJ,Bonks Adventure
WUP-PNGJ,Bonks Revenge
WUP-PNZJ,Break In
WUP-PNPJ,Chew Man Fu
WUP-PNJJ,China Warrior
WUP-PNXJ,Detana Twin Bee
WUP-PN6J,Devils Crush
WUP-PNYJ,Digital Champ
WUP-PNSJ,Double Dungeons
WUP-PN3J,Dungeon Explorer
WUP-PNQJ,Final Soldier
WUP-PNAJ,Gradius
WUP-PPEJ,ImageFight
WUP-PPFJ,ImageFight II
WUP-PPCJ,Legend of Hero Tonma
WUP-PN5J,Lords of Thunder
WUP-PN2J,Motoroader
WUP-PPUJ,Necromancer
WUP-PNEJ,Neutopia
WUP-PNMJ,Neutopia II
WUP-PNCJ,New Adventure Island
WUP-PPDJ,Ninja Spirit
WUP-PNUJ,Power Golf
WUP-PPAJ,R-Type
WUP-PNVJ,Salamander
WUP-PNNJ,Shockman
WUP-PNTJ,Soldier Blade
WUP-PNDJ,Super Star Soldier
WUP-PNRJ,Victory Run
WUP-PPBJ,Vigilante
WUP-PN4J,World Sports Competition
